------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:09 (uptime: 0d, 00h 00m 27s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.reassembly_memuse                         | Total                     | 839680
flow.memuse                                   | Total                     | 7485784
------------------------------------------------------------------------------------
Date: 5/16/2020 -- 06:55:00 (uptime: 0d, 00h 00m 55s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 4349
decoder.pkts                                  | Total                     | 4514
decoder.bytes                                 | Total                     | 2325860
decoder.ipv4                                  | Total                     | 4439
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 4514
decoder.tcp                                   | Total                     | 558
decoder.udp                                   | Total                     | 3880
decoder.avg_pkt_size                          | Total                     | 515
decoder.max_pkt_size                          | Total                     | 1458
flow.tcp                                      | Total                     | 25
flow.udp                                      | Total                     | 21
decoder.event.ipv4.opt_pad_required           | Total                     | 2
tcp.sessions                                  | Total                     | 8
tcp.syn                                       | Total                     | 8
tcp.synack                                    | Total                     | 9
tcp.rst                                       | Total                     | 1
app_layer.flow.tls                            | Total                     | 8
app_layer.flow.dns_udp                        | Total                     | 8
app_layer.tx.dns_udp                          | Total                     | 18
app_layer.flow.failed_udp                     | Total                     | 13
flow.spare                                    | Total                     | 10000
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65536
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 1019904
flow.memuse                                   | Total                     | 7493656
------------------------------------------------------------------------------------
Date: 5/16/2020 -- 06:55:08 (uptime: 0d, 00h 01m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 6131
decoder.pkts                                  | Total                     | 6217
decoder.bytes                                 | Total                     | 3211527
decoder.ipv4                                  | Total                     | 6127
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 6217
decoder.tcp                                   | Total                     | 1074
decoder.udp                                   | Total                     | 5052
decoder.avg_pkt_size                          | Total                     | 516
decoder.max_pkt_size                          | Total                     | 1458
flow.tcp                                      | Total                     | 34
flow.udp                                      | Total                     | 29
decoder.event.ipv4.opt_pad_required           | Total                     | 2
tcp.sessions                                  | Total                     | 16
tcp.syn                                       | Total                     | 16
tcp.synack                                    | Total                     | 17
tcp.rst                                       | Total                     | 1
app_layer.flow.tls                            | Total                     | 16
app_layer.flow.dns_udp                        | Total                     | 15
app_layer.tx.dns_udp                          | Total                     | 34
app_layer.flow.failed_udp                     | Total                     | 14
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 1
flow_mgr.flows_notimeout                      | Total                     | 1
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65535
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 1103872
flow.memuse                                   | Total                     | 7495296
------------------------------------------------------------------------------------
Date: 5/16/2020 -- 06:55:16 (uptime: 0d, 00h 01m 11s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 10349
decoder.pkts                                  | Total                     | 10485
decoder.bytes                                 | Total                     | 6280230
decoder.ipv4                                  | Total                     | 10379
decoder.ipv6                                  | Total                     | 1
decoder.ethernet                              | Total                     | 10485
decoder.tcp                                   | Total                     | 4600
decoder.udp                                   | Total                     | 5778
decoder.avg_pkt_size                          | Total                     | 598
decoder.max_pkt_size                          | Total                     | 1458
flow.tcp                                      | Total                     | 53
flow.udp                                      | Total                     | 45
decoder.event.ipv4.opt_pad_required           | Total                     | 2
tcp.sessions                                  | Total                     | 35
tcp.syn                                       | Total                     | 35
tcp.synack                                    | Total                     | 35
tcp.rst                                       | Total                     | 3
app_layer.flow.tls                            | Total                     | 33
app_layer.flow.dns_udp                        | Total                     | 31
app_layer.tx.dns_udp                          | Total                     | 66
app_layer.flow.failed_udp                     | Total                     | 14
flow_mgr.new_pruned                           | Total                     | 7
flow.spare                                    | Total                     | 10000
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65536
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 3278848
flow.memuse                                   | Total                     | 7507432
------------------------------------------------------------------------------------
Date: 5/16/2020 -- 06:55:24 (uptime: 0d, 00h 01m 19s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 13021
decoder.pkts                                  | Total                     | 13182
